Module,Unit,Standard,KC ID,Knowledge Component,Key Vocabulary
Module A,Structure and Function,3.1.9-12.A,A1, explain how the sequence of nucleotide bases in a DNA molecule encodes the genetic information needed to build a specific protein.,"DNA, nucleotide, gene, base sequence, condon"
,,3.1.9-12.A,A2," describe the process of transcription, including how RNA polymerase reads the DNA template strand and produces a complementary pre-mRNA strand, and explain how splicing removes introns and joins exons to produce the mature mRNA transcript.","transcription, mRNA, RNA polymerase, template strand, TAC initiation sequence, RNA editing, introns, exons"
,,3.1.9-12.A,A3, explain how ribosomes read codons on an mRNA strand and match them to tRNA anticodons to assemble amino acids in the correct order during translation.,"translation, codon, anticodon, ribosome, tRNA, amino acid"
,,3.1.9-12.A,A4, explain how the sequence of amino acids in a polypeptide determines the protein's three-dimensional shape.,"protein, polypeptide, amino acid, protein structure, R groups, hydrogen bonding"
,,3.1.9-12.A,A5,"explain how a protein's three-dimensional shape determines its specific function within the cell (e.g., how an enzyme's active site shape enables it to bind a specific substrate)","protein function, structure and function"
,,3.1.9-12.A,A6, explain how cells with identical DNA can become structurally and functionally different by selectively expressing different genes.,"gene expression, specialized cells, differentiation, epigenome"
,,3.1.9-12.A,A7, trace the complete pathway from a DNA sequence to a functional protein and predict how a mutation at any step would affect the resulting protein and cell function.,"mutation, central dogma, DNA replication, protein synthesis, missence, nonsense, frameshift"
,,3.1.9-12.B,B1,"distinguish between unicellular, colonial, and multicellular organisms, and give examples of each","unicellular, multicellular, colonial"
,,3.1.9-12.B,B2, distinguish between prokaryotic and eukaryotic cells and identify key structural differences between them.,"prokaryotic, eukaryotic, organelles, membrane compartmentalization"
,,3.1.9-12.B,B3, sequence the levels of biological organization from cell to organism and describe the role of each level.,"cell, tissues, organs, organ system"
,,3.1.9-12.B,B4," explain why multicellular organisms require specialized cells organized into tissues, organs, and organ systems to carry out life functions that a single cell cannot perform alone.","specialized cells, tissue, organ system, function"
,,3.1.9-12.B,B5," explain how two or more organ systems interact with each other to maintain the functioning of the whole organism, using a specific example such as the circulatory and respiratory systems.","circulatory system, respiratory system, nutrient, stimuli, system interactions, cooperativity, feeback regulation"
,,3.1.9-12.B,B6, develop and use a model to illustrate the hierarchical relationships between interacting systems that provide specific functions within a multicellular organism.,"model, system, input, output"
,,3.1.9-12.C,C1, define homeostasis and explain why maintaining stable internal conditions is essential for an organism's survival.,"homeostasis, internal conditions, stability"
,,3.1.9-12.C,C2, explain how negative feedback loops detect a change from a set point and trigger a corrective response to restore stability.,"negative feedback, feedback loops, set point"
,,3.1.9-12.C,C3," explain how positive feedback loops amplify a change rather than correct it, and give a biological example of when positive feedback is beneficial.","positive feedback, feedback loops"
,,3.1.9-12.C,C4," describe a specific example of homeostasis (e.g., temperature regulation, blood glucose, osmoregulation) by identifying the stimulus, receptor, control center, effector, and response.","temperature regulation, osmoregulation, excretory system, stomate, transpiration.  Effectors, target organ"
,,3.1.9-12.C,C5," plan and describe an investigation that would produce reliable data as evidence that a specific feedback mechanism maintains homeostasis, identifying the type and accuracy of data needed.","investigation design, evidence, reliable data"
,Matter and Energy in Organisms and Ecosystems,3.1.9-12.E,E1, identify the reactants and products of photosynthesis and write or interpret the overall chemical equation.,"photosynthesis, reactant, product, glucose, oxygen, carbon dioxide, water, light (photons)"
,,3.1.9-12.E,E2, explain how chlorophyll and other pigments in the chloroplast capture light energy and use it to drive the conversion of carbon dioxide and water into sugar.,"light energy, chloroplast, chlorophyll, chemical energy, electron transport chains, redox carriers, ATP, NADPH. Proton battery"
,,3.1.9-12.E,E3, explain how photosynthesis transforms light energy into stored chemical energy in the bonds of glucose molecules.,"chemical energy, stored energy, glucose, redox carriers, ATP, phosphorylation, oxidation, reduction"
,,3.1.9-12.E,E4," use a model to illustrate the flow of matter and energy into, through, and out of the photosynthesis process.","model, input, output, energy and matter flows"
,,3.1.9-12.F,F1," explain how carbon, hydrogen, and oxygen atoms from sugar molecules can be rearranged and combined with other elements to form a variety of organic molecules.","organic molecules, element, matter, carbon, hydrogen, oxygen, enzymes and specicity"
,,3.1.9-12.F,F2," explain the relationship between monomers and polymers, giving examples of biological monomers (e.g., amino acids, glucose) and the polymers they form (e.g., proteins, starch).","monomer, polymer, macromolecules, hydrolysis, dehydration synthesis"
,,3.1.9-12.F,F3, explain how hydrocarbon backbones derived from sugars are used to synthesize amino acids and other large carbon-based molecules needed for building new cells.,"hydrocarbon, amino acid, protein, macromolecules, enzymes, specificity"
,,3.1.9-12.F,F4, construct and revise an explanation for how matter and energy are reorganized as they flow through different organizational levels of living systems.,"metabolism, energy and matter flows, cellular respiration, catabolsim and anabolism"
,,3.1.9-12.G,G1, identify the reactants and products of cellular respiration and write or interpret the overall chemical equation.,"cellular respiration, reactants, products, glucose, oxygen, carbon dioxide, water, enzymes"
,,3.1.9-12.G,G2, explain how the breaking of chemical bonds in food molecules releases energy and how that energy is captured in ATP molecules.,"chemical energy, food molecule, ADP/ATP, bond breaking, enzymes, coupled reactions"
,,3.1.9-12.G,G3, explain the role of mitochondria in cellular respiration and describe how energy stored in food molecules is transferred to ATP through a series of chemical reactions.,"mitochondria, stored energy, net transfer, ADP/ATP, matrix, inner membrane and IM space, proton battery, enzymes, redox carriers"
,,3.1.9-12.G,G4, use a model to illustrate that cellular respiration is a chemical process in which bond-breaking and bond-forming result in a net transfer of energy from food molecules to usable cellular energy.,"model, net transfer, input, output, energy cannot be created or destroyed, enzymes, redox carriers, coupled reactions, phosphorylation  "
,,3.1.9-12.J,J1," compare aerobic and anaerobic respiration, explaining the conditions under which each occurs, the reactants and products of each, and the relative amounts of energy each produces.","aerobic respiration, anaerobic respiration, energy transfer"
,,3.1.9-12.J,J2, explain how photosynthesis and cellular respiration together account for the cycling of carbon and the flow of energy through living systems.,"photosynthesis, cellular respiration, carbon cycle, energy transfer, carbon coupling, oxygen coupling"
,,3.1.9-12.J,J3,"construct an explanation, supported by valid evidence, for how matter cycles and energy flows through living systems under both aerobic and anaerobic conditions","cycling of matter, energy and matter flows, aerobic, anaerobic"
,,3.1.9-12.H,H1," identify producers, primary consumers, secondary consumers, and decomposers and explain their roles in a food web.","food chains/webs, trophic levels, producer, consumer, decomposer, metabolism, catabolism, anabolism"
,,3.1.9-12.H,H2, explain why only a small fraction of energy (approximately 10%) is transferred from one trophic level to the next and describe where the remaining energy goes.,"trophic levels, energy transfer, conservation of energy, metabolism, catabolism, anabolism"
,,3.1.9-12.H,H3," explain how chemical elements that make up organisms cycle through food webs, the atmosphere, and the soil.","matter cycling, food chains/webs, chemical elements, assimilation, metabolism"
